Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves
"Nimzo-Indian Defense, Normal Variation, Gligoric System",,221,E53,2017-10-15,2402,2454,25.30%,36.60%,38.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O Nbd7
"Nimzo-Indian Defense, Normal Variation, Gligoric System, Bernstein Defense",,781,E56,2018-06-25,2370,2402,25.60%,41.10%,33.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O Nc6
"Nimzo-Indian Defense, Normal Variation, Gligoric System, Bronstein Variation",,1078,E55,2018-06-10,2450,2474,26.10%,47.90%,26.10%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O dxc4 8.Bxc4 Nbd7
"Nimzo-Indian Defense, Normal Variation, Gligoric System, Exchange at c4",,1111,E54,2018-07-01,2481,2445,32.50%,45.90%,21.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O dxc4 8.Bxc4
"Nimzo-Indian Defense, Normal Variation, Gligoric System, Keres Variation",,189,E53,2018-06-16,2370,2452,23.80%,40.20%,36.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O b6
"Nimzo-Indian Defense, Normal Variation, Gligoric System, Smyslov Variation",,129,E54,2017-07-20,2434,2481,26.40%,42.60%,31.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 c5 7.O-O dxc4 8.Bxc4 Qe7
"Nimzo-Indian Defense, Normal Variation, Hübner Deferred",,377,E50,2018-06-20,2299,2318,34.80%,32.90%,32.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 c5
"Nimzo-Indian Defense, Normal Variation, Ragozin Variation",,424,E51,2018-07-03,2270,2315,29.00%,39.60%,31.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5
"Nimzo-Indian Defense, Normal Variation, Saemisch Deferred",,212,E51,2018-07-09,2352,2336,33.00%,32.10%,34.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.a3
"Nimzo-Indian Defense, Normal Variation, Schlechter Defense",,1017,E52,2018-07-04,2411,2456,27.80%,41.70%,30.50%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nf3 d5 6.Bd3 b6
"Nimzo-Indian Defense, Normal Variation, Taimanov Variation",,403,E40,2018-04-20,2338,2370,28.50%,34.00%,37.50%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 Nc6
"Nimzo-Indian Defense, Panov Attack, Main Line",,3915,E54,2018-07-02,2329,2357,28.90%,39.80%,31.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Nf3 cxd4 6.exd4 d5
"Nimzo-Indian Defense, Ragozin Defense",,316,E46,2018-05-23,2424,2365,40.50%,34.50%,25.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 Nc6 5.Nf3 O-O 6.Bd3 d5 7.O-O
"Nimzo-Indian Defense, Ragozin Variation",,2930,E20,2010-05-30,2385,2426,22.90%,43.10%,34.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 d5
"Nimzo-Indian Defense, Reshevsky Variation",,4342,E46,2018-07-08,2349,2337,31.40%,34.80%,33.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Ne2
"Nimzo-Indian Defense, Romanishin Variation",,310,E20,2018-07-05,2421,2371,41.90%,38.10%,20.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 c5 5.g3 O-O 6.Bg2
"Nimzo-Indian Defense, Romanishin Variation",,1491,E20,2018-07-05,2398,2373,34.40%,36.70%,28.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.g3
"Nimzo-Indian Defense, Romanishin Variation, English Hybrid",,616,E20,2018-06-02,2419,2459,18.70%,49.80%,31.50%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 c5 5.g3 O-O 6.Bg2 cxd4 7.Nxd4 d5 8.cxd5 Nxd5
"Nimzo-Indian Defense, Saemisch Variation",,373,E28,2018-06-07,2355,2317,39.10%,26.30%,34.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 O-O 6.e3
"Nimzo-Indian Defense, Saemisch Variation",,334,E27,2018-07-07,2165,2205,38.90%,25.40%,35.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 O-O
"Nimzo-Indian Defense, Saemisch Variation",,687,E25,2018-06-29,2370,2331,37.40%,29.00%,33.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.f3 d5 7.cxd5
"Nimzo-Indian Defense, Saemisch Variation",,588,E26,2018-06-20,2341,2303,41.00%,22.80%,36.20%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.e3
"Nimzo-Indian Defense, Saemisch Variation",,380,E29,2018-06-08,2323,2361,37.60%,27.60%,34.70%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 O-O 6.e3 c5 7.Bd3 Nc6
"Nimzo-Indian Defense, Saemisch Variation, Accelerated",,1503,E24,2018-06-30,2181,2159,33.10%,23.20%,43.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3
"Nimzo-Indian Defense, Saemisch Variation, Capablanca Variation",,289,E29,2018-06-26,2423,2419,36.30%,35.60%,28.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 O-O 6.e3 c5 7.Bd3 Nc6 8.Ne2 b6 9.e4 Ne8
"Nimzo-Indian Defense, Saemisch Variation, Keres Variation",,977,E25,2018-07-04,2442,2408,32.80%,43.90%,23.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.f3 d5 7.cxd5 Nxd5 8.dxc5
"Nimzo-Indian Defense, Saemisch Variation, O'Kelly Variation",,237,E26,2018-04-20,2366,2338,45.60%,27.40%,27.00%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+ 5.bxc3 c5 6.e3 b6
"Nimzo-Indian Defense, Simagin Variation",,772,E46,2018-06-21,2371,2381,32.10%,40.50%,27.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Ne2 d5 6.a3 Bd6
"Nimzo-Indian Defense, Spielmann Variation",,541,E22,2018-06-07,2302,2273,36.20%,29.60%,34.20%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3
"Nimzo-Indian Defense, Spielmann Variation, Karlsbad Variation",,115,E23,2018-06-14,2387,2405,33.90%,36.50%,29.60%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 c5 5.dxc5 Nc6 6.Nf3 Ne4 7.Bd2 Nxd2
"Nimzo-Indian Defense, Spielmann Variation, Romanovsky Gambit",,138,E23,2018-06-08,2357,2378,29.00%,41.30%,29.70%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 c5 5.dxc5 Nc6
"Nimzo-Indian Defense, St. Petersburg Variation",,2440,E43,2018-07-02,2298,2314,34.40%,31.10%,34.50%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6
"Nimzo-Indian Defense, Three Knights Variation",,3299,E21,2018-07-09,2355,2330,37.50%,35.20%,27.30%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3
"Nimzo-Indian Defense, Three Knights Variation, Duchamp Variation",,5246,E21,2018-07-06,2329,2349,32.00%,34.10%,33.90%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6
"Nimzo-Indian Defense, Three Knights Variation, Duchamp Variation, Modern Line",,632,E21,2018-07-02,2479,2459,39.70%,36.90%,23.40%,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6 5.Bg5 Bb7 6.Nd2
"Nimzo-Larsen Attack, Classical Variation",,4094,A01,2018-07-07,2186,2193,34.00%,29.10%,36.90%,1.b3 d5
"Nimzo-Larsen Attack, Dutch Variation",,185,A01,2018-05-07,2120,2133,34.60%,27.60%,37.80%,1.b3 f5
"Nimzo-Larsen Attack, English Variation",,907,A01,2018-06-23,2205,2215,37.20%,25.50%,37.40%,1.b3 c5
"Nimzo-Larsen Attack, General",,995,A01,2018-07-07,2178,2177,40.30%,26.00%,33.70%,1.b3
"Nimzo-Larsen Attack, Indian Variation",,2725,A01,2018-07-09,2160,2166,31.40%,29.00%,39.60%,1.b3 Nf6
"Nimzo-Larsen Attack, Modern Variation",,6845,A01,2018-07-08,2199,2207,35.60%,27.80%,36.60%,1.b3 e5
"Nimzo-Larsen Attack, Symmetrical Variation",,383,A01,2018-07-04,2201,2208,27.70%,34.20%,38.10%,1.b3 b6
"Nimzowitsch Defense, Declined Variation",,996,B00,2018-07-01,2181,2148,44.70%,21.50%,33.80%,1.e4 Nc6 2.Nf3
"Nimzowitsch Defense, Franco-Nimzowitsch Variation",,330,B00,2018-06-17,2038,2088,27.60%,18.50%,53.90%,1.e4 Nc6 2.Nf3 e6
"Nimzowitsch Defense, French Connection",,342,B00,2018-04-07,2142,2182,31.90%,27.20%,40.90%,1.e4 Nc6 2.Nc3 e6
"Nimzowitsch Defense, General",,792,B00,2018-06-30,2048,2093,36.10%,21.60%,42.30%,1.e4 Nc6
"Nimzowitsch Defense, Kennedy Variation, Linksspringer Variation",,641,B00,2018-05-06,2097,2084,39.20%,18.30%,42.60%,1.e4 Nc6 2.d4 e5 3.d5
"Nimzowitsch Defense, Kennedy Variation, Main Line",,100,B00,2017-12-08,2154,2198,32.00%,26.00%,42.00%,1.e4 Nc6 2.d4 e5 3.dxe5 Nxe5 4.f4 Ng6
"Nimzowitsch Defense, Kennedy Variation, Paulsen Attack",,257,B00,2018-02-24,2305,2262,38.50%,30.00%,31.50%,1.e4 Nc6 2.d4 e5 3.dxe5 Nxe5 4.Nf3
"Nimzowitsch Defense, Lean Variation, Colorado Counter Accepted",,293,B00,2018-05-06,2238,2210,50.20%,20.10%,29.70%,1.e4 Nc6 2.Nf3 f5 3.exf5
"Nimzowitsch Defense, Mikenas Variation",,400,B00,2018-06-20,2166,2224,36.30%,19.50%,44.30%,1.e4 Nc6 2.d4 d6
"Nimzowitsch Defense, Scandinavian Variation, Advance Variation",,1163,B00,2018-06-23,2100,2062,39.60%,20.60%,39.80%,1.e4 Nc6 2.d4 d5 3.e5
"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation",,151,B00,2018-06-23,2270,2211,46.40%,24.50%,29.10%,1.e4 Nc6 2.d4 d5 3.Nc3
"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Heinola-Deppe Gambit",,109,B00,2018-03-31,2177,2238,30.30%,22.90%,46.80%,1.e4 Nc6 2.d4 d5 3.Nc3 e5
"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Nimzowitsch Gambit",,273,B00,2018-06-08,2170,2187,34.10%,19.80%,46.10%,1.e4 Nc6 2.d4 d5 3.Nc3 dxe4 4.d5 Ne5
"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Vehre Variation",,312,B00,2018-06-11,2196,2242,32.40%,25.60%,42.00%,1.e4 Nc6 2.d4 d5 3.Nc3 Nf6
"Nimzowitsch Defense, Scandinavian Variation, Exchange Variation",,638,B00,2018-06-24,2122,2150,40.00%,24.10%,35.90%,1.e4 Nc6 2.d4 d5 3.exd5 Qxd5
"Nimzowitsch Defense, Williams Variation",,2521,B00,2018-07-07,2209,2253,32.20%,27.00%,40.80%,1.e4 Nc6 2.Nf3 d6
"Nimzowitsch-Larsen Attack, General",,4058,A06,2018-07-08,2237,2220,36.40%,32.40%,31.20%,1.Nf3 d5 2.b3
"Old Indian Defense, General",,4519,A53,2018-07-06,2232,2268,32.30%,28.90%,38.80%,1.d4 Nf6 2.c4 d6
"Old Indian Defense, Janowski Variation, Fianchetto Variation",,188,A53,2018-06-25,2465,2369,48.40%,33.00%,18.60%,1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.g3
"Old Indian Defense, Janowski Variation, Fianchetto Variation",,434,A53,2018-06-21,2355,2295,41.50%,30.60%,27.90%,1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.Nf3
"Old Indian Defense, Janowski Variation, Main Line",,299,A53,2018-07-08,2312,2291,34.10%,29.80%,36.10%,1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.f3
"Old Indian Defense, Normal Variation",,3547,A55,2018-06-28,2360,2311,44.60%,30.30%,25.10%,1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3 Nbd7 5.e4
"Old Indian Defense, Tartakower-Indian",,967,A54,2018-07-08,2251,2317,23.20%,33.10%,43.70%,1.d4 Nf6 2.c4 d6 3.Nf3 Bg4
"Old Indian Defense, Two Knights Variation",,1260,A54,2018-06-03,2410,2352,45.90%,29.10%,25.10%,1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3
"Old Indian Defense, Ukrainian Variation",,1116,A54,2018-07-07,2278,2277,37.90%,34.30%,27.80%,1.d4 Nf6 2.c4 d6 3.Nc3 e5
"Old Indian, Czech Variation w/Nc3",,578,A53,2018-05-31,2167,2227,28.40%,27.00%,44.60%,1.d4 Nf6 2.c4 d6 3.Nc3 c6
"Old Indian, Czech Variation w/Nf3",,102,A53,2018-06-20,2141,2241,23.50%,30.40%,46.10%,1.d4 Nf6 2.c4 d6 3.Nf3 c6
"Old Indian, Czech Variation",,1001,A53,2018-07-08,2339,2287,42.80%,31.30%,26.00%,1.d4 Nf6 2.c4 d6 3.Nc3 c6 4.Nf3
"Owen Defense, General",,4594,B00,2018-07-08,2033,2102,31.60%,21.90%,46.60%,1.e4 b6
"Philidor Defense, Exchange Variation",,3908,C41,2018-07-07,2153,2207,28.10%,28.80%,43.00%,1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 Nf6
"Philidor Defense, Exchange Variation",,416,C41,2018-07-01,2017,1974,62.30%,18.30%,19.50%,1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4
"Philidor Defense, Exchange Variation",,819,C41,2018-06-27,2201,2234,26.40%,32.40%,41.30%,1.e4 e5 2.Nf3 d6 3.d4 exd4
"Philidor Defense, General",,702,C41,2018-06-15,2154,2046,67.50%,16.90%,15.50%,1.e4 e5 2.Nf3 d6 3.d4
"Philidor Defense, General",,2901,C41,2018-06-29,1917,1965,31.40%,23.40%,45.20%,1.e4 e5 2.Nf3 d6
"Philidor Defense, Hanham Variation",,1142,C41,2018-07-06,2046,2129,26.00%,22.70%,51.30%,1.e4 e5 2.Nf3 d6 3.d4 Nd7
"Philidor Defense, Hanham Variation, Krause Variation",,315,C41,2018-06-30,2259,2192,48.60%,21.90%,29.50%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.O-O
"Philidor Defense, Hanham Variation, Schlechter Variation",,261,C41,2018-05-09,2267,2185,46.40%,25.70%,28.00%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.Nc3
"Philidor Defense, Hanham Variation, Steiner Variation",,232,C41,2018-06-21,2403,2309,57.80%,23.70%,18.50%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.O-O Be7 6.dxe5
"Philidor Defense, Larsen Variation",,797,C41,2018-05-20,2148,2206,27.10%,25.00%,47.90%,1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 g6
"Philidor Defense, Lion Variation",,11410,C41,2018-07-09,2258,2296,29.30%,32.20%,38.50%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6
"Philidor Defense, Lion Variation, Bishop Sac",,144,C41,2018-03-24,2013,2075,29.90%,8.30%,61.80%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7 5.Bc4 Be7 6.Bxf7+
"Philidor Defense, Lion Variation, Forcing Line",,134,C41,2018-03-28,2178,2163,38.10%,20.10%,41.80%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7 5.Bc4 Be7 6.Ng5 O-O 7.Bxf7+ Rxf7 8.Ne6
"Philidor Defense, Lion Variation, Lion's Claw I",,123,C41,2018-05-30,2140,2182,35.80%,30.90%,33.30%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6 5.Be2 Be7 6.O-O c6
"Philidor Defense, Lion Variation, Lion's Claw II",,207,C41,2018-06-24,2079,2111,23.70%,25.10%,51.20%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6 5.Bc4 Be7 6.O-O h6
"Philidor Defense, Lion Variation, Shirov Gambit",,690,C41,2018-06-30,2351,2276,48.10%,22.60%,29.30%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6 5.g4
"Philidor Defense, Lion Variation, Sozin Variation",,153,C41,2018-04-07,2327,2384,31.40%,29.40%,39.20%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7 5.Bc4 Be7 6.O-O O-O 7.Qe2 c6 8.a4 exd4
"Philidor Defense, Morphy Gambit",,105,C41,2018-06-15,2070,2040,49.50%,18.10%,32.40%,1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Bc4
"Philidor Defense, Nimzowitsch Variation",,158,C41,2018-03-11,2176,2154,42.40%,26.60%,31.00%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.dxe5
"Philidor Defense, Nimzowitsch Variation",,148,C41,2017-07-21,2073,2136,26.40%,28.40%,45.30%,1.e4 e5 2.Nf3 d6 3.d4 Nf6
"Philidor Defense, Nimzowitsch Variation, Rellstab Variation",,247,C41,2018-05-19,2447,2326,53.40%,32.40%,14.20%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.dxe5 Nxe4 5.Qd5
"Pirc Defense, 150 Attack",,1472,B07,2018-07-08,2356,2303,44.60%,27.00%,28.50%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 c6 5.Qd2
"Pirc Defense, 150 Attack, Sveshnikov-Jansa Attack",,698,B07,2018-06-29,2409,2346,48.70%,27.50%,23.80%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 c6 5.h3
"Pirc Defense, Austrian Attack",,1154,B09,2018-07-06,2211,2136,52.30%,21.60%,26.10%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4
"Pirc Defense, Austrian Attack",,1119,B09,2018-07-07,2145,2193,37.50%,22.90%,39.60%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O
"Pirc Defense, Austrian Attack, Dragon Formation",,2931,B09,2018-07-07,2209,2254,27.30%,30.40%,42.20%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 c5
"Pirc Defense, Austrian Attack, Kurajica Variation",,947,B09,2018-06-30,2323,2283,42.30%,23.60%,34.10%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Be3
"Pirc Defense, Austrian Attack, Ljubojevic Variation",,104,B09,2018-03-30,2197,2101,44.20%,29.80%,26.00%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Bc4
"Pirc Defense, Austrian Attack, Unzicker Attack",,743,B09,2018-07-07,2328,2271,42.30%,30.80%,26.90%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.e5
"Pirc Defense, Austrian Attack, Unzicker Attack, Bronstein Variation",,251,B09,2018-06-27,2334,2261,45.80%,23.90%,30.30%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.e5 Nfd7 7.h4
"Pirc Defense, Austrian Attack, Weiss Variation",,4572,B09,2018-07-07,2313,2266,41.30%,28.80%,29.90%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3
"Pirc Defense, Bayonet Attack",,713,B07,2018-07-01,2296,2243,43.90%,23.40%,32.70%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.h4
"Pirc Defense, Byrne Variation",,3543,B07,2018-07-07,2303,2241,49.20%,24.00%,26.90%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bg5
"Pirc Defense, Chinese Variation",,210,B07,2018-05-04,2237,2183,50.00%,15.20%,34.80%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.g4
"Pirc Defense, Classical Variation",,636,B07,2018-07-08,2128,2105,38.00%,23.30%,38.70%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2
"Pirc Defense, Classical Variation",,268,B07,2018-07-06,2182,2100,45.10%,28.00%,26.90%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3
"Pirc Defense, Classical Variation, Quiet System",,2844,B08,2018-07-01,2295,2248,36.70%,33.20%,30.10%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2
"Pirc Defense, Classical Variation, Quiet System, Chigorin Line",,921,B08,2018-07-09,2319,2340,29.60%,41.30%,29.10%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nc6
"Pirc Defense, Classical Variation, Quiet System, Czech Defense",,3443,B08,2018-07-08,2300,2340,29.20%,37.40%,33.50%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O c6
"Pirc Defense, Classical Variation, Quiet System, Parma Defense",,1942,B08,2018-07-05,2297,2341,23.10%,41.90%,35.10%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Bg4
"Pirc Defense, Classical Variation, Schlechter Variation",,3495,B08,2018-07-09,2259,2218,38.20%,31.40%,30.40%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3
"Pirc Defense, Classical Variation, Two Knights System",,3831,B08,2018-07-08,2098,2134,36.90%,25.10%,38.00%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7
"Pirc Defense, General",,18659,B07,2018-07-09,2171,2216,31.30%,28.80%,39.90%,1.e4 d6 2.d4 Nf6
"Pirc Defense, Kholmov System",,1106,B07,2018-06-21,2107,2049,43.10%,21.20%,35.70%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bc4
"Polish Defense, General",,1067,A40,2018-06-30,2093,2168,31.00%,22.20%,46.80%,1.d4 b5
"Polish Opening, Czech Defense",,676,A00,2018-05-26,1981,2007,36.00%,21.10%,42.90%,1.b4 e5 2.Bb2 d6
"Polish Opening, Baltic Defense",,206,A00,2018-03-18,2006,2000,37.40%,26.20%,36.40%,1.b4 d5 2.Bb2 Bf5
"Polish Opening, Bugayev Attack",,330,A00,2018-07-09,2076,2086,36.10%,21.50%,42.40%,1.b4 e5 2.a3
"Polish Opening, General",,3071,A00,2018-06-29,2021,2015,36.10%,20.80%,43.10%,1.b4
"Polish Opening, German Defense",,176,A00,2018-06-01,2101,2122,46.60%,22.20%,31.30%,1.b4 d5 2.Bb2 Qd6
"Polish Opening, King's Indian Variation",,202,A00,2018-02-06,2067,2108,36.10%,24.80%,39.10%,1.b4 Nf6 2.Bb2 g6
"Polish Opening, King's Indian Variation, Sokolsky Attack",,354,A00,2018-06-16,2315,2286,38.70%,29.70%,31.60%,1.b4 Nf6 2.Bb2 g6 3.c4 Bg7 4.e3 d6 5.Nf3 O-O 6.d4
"Polish Opening, Outflank Variation",,436,A00,2018-06-08,2112,2117,43.80%,24.50%,31.60%,1.b4 c6
"Polish Opening, Schiffler-Sokolsky Variation",,307,A00,2018-06-02,2111,2080,39.40%,25.10%,35.50%,1.b4 Nf6 2.Bb2 d5 3.e3 e6 4.b5
"Polish Opening, Tartakower Gambit",,128,A00,2016-10-14,2156,2107,48.40%,13.30%,38.30%,1.b4 e5 2.Bb2 f6 3.e4
"Polish Opening, Zukertort System",,329,A04,2018-06-10,2195,2208,37.70%,30.70%,31.60%,1.b4 Nf6 2.Nf3
"Ponziani Opening, Caro Gambit",,149,C44,2018-02-10,2234,2214,46.30%,18.80%,34.90%,1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Qa4 Bd7
"Ponziani Opening, General",,579,C44,2018-06-30,2170,2139,43.40%,24.20%,32.50%,1.e4 e5 2.Nf3 Nc6 3.c3
"Ponziani Opening, Jaenisch Counterattack",,1664,C44,2018-06-23,2164,2189,31.40%,28.50%,40.10%,1.e4 e5 2.Nf3 Nc6 3.c3 Nf6
"Ponziani Opening, Ponziani Countergambit",,103,C44,2018-03-13,2254,2284,39.80%,15.50%,44.70%,1.e4 e5 2.Nf3 Nc6 3.c3 f5
"Ponziani Opening, Steinitz Variation",,220,C44,2018-06-21,2245,2239,38.60%,30.00%,31.40%,1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Qa4 f6
"Portuguese Opening, General",,102,C20,2018-06-10,2169,2163,40.20%,24.50%,35.30%,1.e4 e5 2.Bb5
"Pterodactyl Defense, Eastern, Anhanguera",,168,B06,2018-05-31,2137,2113,31.60%,26.20%,42.30%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Be3
"Pterodactyl Defense, Eastern, Benoni",,520,B06,2018-06-15,2325,2273,47.90%,26.50%,25.60%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.d5
"Pterodactyl Defense, Eastern, Pterodactyl",,278,B06,2018-05-04,2130,2211,23.70%,20.50%,55.80%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.dxc5 Qa5
"Pterodactyl Defense, Eastern, Pteronodon",,141,B06,2018-06-27,2174,2182,23.40%,31.20%,45.40%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.dxc5 Bxc3+ 5.bxc3 Qa5
"Pterodactyl Defense, Miscellany, Queen Pterodactyl, Quiet",,242,A40,2018-06-10,2177,2151,30.20%,26.90%,43.00%,1.d4 g6 2.c4 Bg7 3.Nc3 c5 4.e3
"Pterodactyl Defense, Sicilian, Anhanguera",,147,B06,2018-07-09,2254,2214,35.40%,27.90%,36.70%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Nf3 Qa5 5.Be3
"Pterodactyl Defense, Sicilian, Rhamporhynchus",,111,B06,2018-07-01,2381,2288,49.50%,23.40%,27.00%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Nf3 Qa5 5.dxc5
"Pterodactyl Defense, Western, Rhamporhynchus",,694,B06,2018-06-14,2235,2273,29.80%,28.80%,41.40%,1.e4 g6 2.d4 Bg7 3.Nf3 c5 4.dxc5 Qa5+
"Queen Pawn Game, Anglo-Slav Opening",,257,A41,2018-07-09,2012,2055,28.80%,21.40%,49.80%,1.d4 c6 2.c4 d6
